country_of_birth,country_of_destination,education_level,sex,number
BGD,LUX,ISCED 5/6/7/8,Male,258.0
BGD,LVA,ISCED 5/6/7/8,Female,4.0
BGD,LVA,ISCED 5/6/7/8,Male,32.0
BGD,NOR,ISCED 5/6/7/8,Female,1360.0
BGD,NOR,ISCED 5/6/7/8,Male,1876.0
BGD,NZL,ISCED 5/6/7/8,Female,1761.0
BGD,NZL,ISCED 5/6/7/8,Male,3240.0
BGD,POL,ISCED 5/6/7/8,Female,328.0
BGD,POL,ISCED 5/6/7/8,Male,1624.0
BGD,PRT,ISCED 5/6/7/8,Female,1366.0
BGD,PRT,ISCED 5/6/7/8,Male,6866.0
BGD,SVK,ISCED 5/6/7/8,Female,9.0
BGD,SVK,ISCED 5/6/7/8,Male,37.0
BGD,SVN,ISCED 5/6/7/8,Male,35.0
BGD,SWE,ISCED 5/6/7/8,Female,8405.0
BGD,SWE,ISCED 5/6/7/8,Male,13085.0
BGD,TUR,ISCED 5/6/7/8,Female,75.0
BGD,TUR,ISCED 5/6/7/8,Male,312.0
BGD,USA,ISCED 5/6/7/8,Female,244378.0
BGD,USA,ISCED 5/6/7/8,Male,356638.0
BGR,AUS,ISCED 5/6/7/8,Female,6607.0
BGR,AUS,ISCED 5/6/7/8,Male,4398.0
BGR,BGR,ISCED 5/6/7/8,Female,3328013.0
BGR,BGR,ISCED 5/6/7/8,Male,2245279.0
BGR,CAN,ISCED 5/6/7/8,Female,36850.0
BGR,CAN,ISCED 5/6/7/8,Male,29260.0
BGR,CHE,ISCED 5/6/7/8,Female,14224.661148071289
BGR,CHE,ISCED 5/6/7/8,Male,7699.520164489746
BGR,COL,ISCED 5/6/7/8,Female,138.0
BGR,COL,ISCED 5/6/7/8,Male,93.0
BGR,CZE,ISCED 5/6/7/8,Female,4994.0
BGR,CZE,ISCED 5/6/7/8,Male,4303.0
BGR,DNK,ISCED 5/6/7/8,Female,7505.0
BGR,DNK,ISCED 5/6/7/8,Male,7101.0
BGR,ESP,ISCED 5/6/7/8,Female,51012.0
BGR,ESP,ISCED 5/6/7/8,Male,32134.0
BGR,EST,ISCED 5/6/7/8,Female,118.0
BGR,EST,ISCED 5/6/7/8,Male,253.0
BGR,FRA,ISCED 5/6/7/8,Female,32581.84422636032
BGR,FRA,ISCED 5/6/7/8,Male,16472.347727298737
BGR,GRC,ISCED 5/6/7/8,Female,20639.0
BGR,GRC,ISCED 5/6/7/8,Male,5107.0
BGR,HUN,ISCED 5/6/7/8,Female,2046.0
BGR,HUN,ISCED 5/6/7/8,Male,1748.0
